Index,Deflection_nm,Excitation
341,-0.065,47.09568150442843
342,-0.06561,45.98344194469494
343,-0.06439,44.86394106642134
344,-0.06378,43.73735565177405
345,-0.06348,42.60386360164983
346,-0.061340000000000006,41.463643907583254
347,-0.05951,40.31687662348186
348,-0.05798,39.16374283719356
349,-0.05615,38.004424641910845
350,-0.054630000000000005,36.83910510741573
351,-0.05188,35.66796825117187
352,-0.049740000000000006,34.49119900926487
353,-0.047,33.308983207199624
354,-0.04547,32.121507530555995
355,-0.04486,30.928959495508956
356,-0.04242,29.731527419217706
357,-0.04242,28.52940039008816
358,-0.039670000000000004,27.322768237913802
359,-0.0415,26.111821503898934
360,-0.0415,24.896751410570932
361,-0.039979999999999995,23.677749831582812
362,-0.038149999999999996,22.455009261415103
363,-0.04028,21.228722784978295
364,-0.037840000000000006,19.999084047122658
365,-0.03693,18.766287222059074
366,-0.037840000000000006,17.530526982697513
367,-0.03662,16.29199846990515
368,-0.038450000000000005,15.050897261691379
369,-0.037840000000000006,13.807419342324625
370,-0.03571,12.561761071382948
371,-0.037840000000000006,11.314119152747546
372,-0.03632,10.064690603540495
373,-0.03632,8.813672723013637
374,-0.03357,7.561263061392304
375,-0.0351,6.307659388680722
376,-0.03418,5.053059663431051
377,-0.03357,3.7976620014835087
378,-0.03418,2.541664644682037
379,-0.03571,1.2852659295692592
380,-0.03479,0.02866425606692715
381,-0.03357,-1.2279419438537247
382,-0.03265,-2.4843542375065986
383,-0.0354,-3.740374222825911
384,-0.03265,-4.995803559695735
385,-0.0354,-6.250444001270111
386,-0.03326,-7.504097425279332
387,-0.032350000000000004,-8.756565865314844
388,-0.03296,-10.00765154209089
389,-0.032350000000000004,-11.257156894676063
390,-0.03296,-12.504884611690464
391,-0.03204,-13.750637662463372
392,-0.03296,-14.994219328147015
393,-0.03296,-16.235433232780238
394,-0.03143,-17.474083374298893
395,-0.03387,-18.709974155486744
396,-0.03082,-19.942910414862546
397,-0.03265,-21.172697457498284
398,-0.03082,-22.399141085763706
399,-0.03448,-23.622047629992775
400,-0.03052,-24.841223979065433
401,-0.031129999999999998,-26.05647761090328
402,-0.03204,-27.267616622870094
403,-0.02991,-28.474449762075913
404,-0.03052,-29.676786455578014
405,-0.02899,-30.87443684047455
406,-0.0293,-32.06721179388615
407,-0.03021,-33.2549229628205
408,-0.02838,-34.437382793915894
409,-0.0296,-35.61440456305716
410,-0.0293,-36.785802404862714
